TimeStamp,RealTime,LeftPupilDiameter,RightPupilDiameter,EyePosition,EyeRotation,EyeDirection,VergencePosition,HeadRotation,MarkerEyePosition,MarkerEyeRotation,MarkerEyeDirection,MarkerVergencePosition,MarkerHeadRotation,LeftEyeOpenness,RightEyeOpenness,GazeTarget,Situation,SituationRecognized,StartCompression
0,7001228,0.0043,0.0044,(0.000| 0.000| 0.000),(0.000| 0.000| 0.000| 0.000),(0.000| 0.000| 1.000),(0.000| 0.000| 0.000),(0.000| 0.000| 0.000| 0.000),0,0,0,0,0,1,1,None,0,0,0
0,7001362,0.004,0.0044,(0.000| 0.000| 0.000),(0.000| 0.000| 0.000| 0.000),(0.000| 0.000| 1.000),(0.000| 0.000| 0.000),(0.000| 0.000| 0.000| 0.000),0,0,0,0,0,1,0.992,None,0,0,0
0,7001628,0.0041,0.0041,(-1.276| -0.580| 0.289),(0.309| 0.544| -0.303| 0.719),(0.595| -0.774| 0.218),(-0.695| -1.336| 0.502),(0.000| 0.000| 0.000| 1.000),0,0,0,0,0,1,1,None,0,0,0
0,7001662,0.0041,0.004,(-1.276| -0.579| 0.289),(0.309| 0.544| -0.303| 0.719),(0.595| -0.774| 0.217),(-0.709| -1.317| 0.495),(0.219| 0.636| -0.193| 0.715),0,0,0,0,0,1,1,None,0,0,0
0,7001728,0.0037,0.004,(-1.275| -0.579| 0.289),(0.311| 0.544| -0.303| 0.718),(0.593| -0.776| 0.214),(-0.732| -1.289| 0.485),(0.219| 0.634| -0.193| 0.716),0,0,0,0,0,1,1,None,0,0,0
0,7001778,0.004,0.004,(-1.275| -0.579| 0.288),(0.310| 0.543| -0.302| 0.719),(0.594| -0.775| 0.217),(-0.751| -1.263| 0.480),(0.219| 0.633| -0.193| 0.717),0,0,0,0,0,1,1,None,0,0,0
0,7001795,0.004,0.004,(-1.275| -0.579| 0.288),(0.310| 0.543| -0.302| 0.720),(0.595| -0.774| 0.218),(-0.728| -1.291| 0.489),(0.219| 0.633| -0.193| 0.717),0,0,0,0,0,1,1,None,0,0,0
0,7001812,0.004,0.004,(-1.275| -0.579| 0.288),(0.310| 0.543| -0.302| 0.720),(0.594| -0.774| 0.218),(-0.734| -1.284| 0.487),(0.219| 0.633| -0.193| 0.717),0,0,0,0,0,0.996,1,None,0,0,0
0,7001828,0.0037,0.0043,(-1.275| -0.579| 0.288),(0.311| 0.546| -0.301| 0.718),(0.597| -0.774| 0.211),(-0.692| -1.336| 0.495),(0.219| 0.633| -0.193| 0.717),0,0,0,0,0,1,1,None,0,0,0
0,7001845,0.0041,0.0042,(-1.275| -0.579| 0.288),(0.311| 0.545| -0.301| 0.718),(0.596| -0.774| 0.213),(-0.628| -1.419| 0.519),(0.220| 0.633| -0.193| 0.717),0,0,0,0,0,0.997,1,None,0,0,0
